ID,sire,dam
a201,a68,a187
a202,a12,a130
a203,a74,a139
a204,a12,a161
a205,a50,a119
a206,a68,a196
a207,a20,a119
a208,a22,a161
a209,a80,a136
a210,a96,a174
a211,a48,a175
a212,a45,a194
a213,a52,a135
a214,a47,a136
a215,a35,a131
a216,a85,a101
a217,a66,a121
a218,a87,a189
a219,a87,a147
a220,a95,a178
a221,a78,a133
a222,a34,a150
a223,a34,a177
a224,a29,a165
a225,a53,a196
a226,a99,a130
a227,a86,a103
a228,a70,a187
a229,a94,a116
a230,a55,a114
a231,a64,a166
a232,a6,a185
a233,a87,a153
a234,a41,a188
a235,a57,a162
a236,a89,a127
a237,a27,a151
a238,a43,a181
a239,a96,a111
a240,a86,a167
a241,a88,a170
a242,a72,a188
a243,a28,a111
a244,a23,a173
a245,a49,a121
a246,a97,a157
a247,a46,a162
a248,a74,a162
a249,a33,a165
a250,a73,a195
a251,a77,a105
a252,a55,a178
a253,a81,a195
a254,a98,a128
a255,a49,a174
a256,a100,a142
a257,a4,a178
a258,a51,a177
a259,a14,a113
a260,a43,a111
a261,a99,a125
a262,a62,a156
a263,a70,a103
a264,a32,a130
a265,a86,a112
a266,a40,a137
a267,a7,a189
a268,a4,a137
a269,a65,a126
a270,a58,a125
a271,a71,a185
a272,a34,a180
a273,a20,a142
a274,a62,a174
a275,a2,a147
a276,a13,a102
a277,a57,a196
a278,a21,a173
a279,a51,a123
a280,a63,a125
a281,a8,a199
a282,a51,a146
a283,a76,a118
a284,a89,a155
a285,a46,a133
a286,a8,a200
a287,a56,a171
a288,a22,a180
a289,a63,a160
a290,a58,a178
a291,a23,a121
a292,a76,a188
a293,a7,a140
a294,a55,a136
a295,a10,a177
a296,a47,a115
a297,a55,a173
a298,a36,a185
a299,a77,a127
a300,a63,a195
a301,a99,a150
a302,a25,a159
a303,a10,a108
a304,a2,a188
a305,a87,a194
a306,a64,a154
a307,a53,a130
a308,a70,a146
a309,a89,a148
a310,a11,a190
a311,a72,a172
a312,a92,a200
a313,a89,a180
a314,a3,a121
a315,a73,a156
a316,a12,a189
a317,a97,a136
a318,a95,a188
a319,a91,a149
a320,a80,a101
a321,a100,a105
a322,a95,a126
a323,a26,a160
a324,a74,a110
a325,a64,a149
a326,a86,a108
a327,a8,a121
a328,a58,a187
a329,a11,a165
a330,a58,a187
a331,a65,a135
a332,a25,a166
a333,a85,a195
a334,a9,a183
a335,a81,a156
a336,a70,a131
a337,a67,a116
a338,a3,a135
a339,a71,a151
a340,a82,a167
a341,a21,a129
a342,a68,a198
a343,a45,a157
a344,a38,a143
a345,a10,a126
a346,a62,a152
a347,a92,a103
a348,a100,a127
a349,a22,a166
a350,a44,a154
a351,a67,a197
a352,a41,a151
a353,a51,a124
a354,a11,a200
a355,a95,a102
a356,a60,a183
a357,a48,a137
a358,a54,a141
a359,a22,a157
a360,a33,a140
a361,a32,a200
a362,a50,a165
a363,a96,a144
a364,a12,a155
a365,a44,a197
a366,a45,a199
a367,a59,a171
a368,a87,a164
a369,a93,a198
a370,a31,a135
a371,a25,a198
a372,a18,a200
a373,a63,a135
a374,a48,a101
a375,a58,a134
a376,a45,a176
a377,a42,a147
a378,a31,a194
a379,a49,a115
a380,a36,a135
a381,a58,a196
a382,a82,a134
a383,a14,a129
a384,a83,a177
a385,a24,a128
a386,a90,a195
a387,a51,a173
a388,a70,a149
a389,a44,a115
a390,a99,a133
a391,a87,a126
a392,a12,a122
a393,a75,a115
a394,a6,a102
a395,a39,a124
a396,a27,a102
a397,a65,a172
a398,a33,a177
a399,a27,a147
a400,a8,a192
a401,a81,a180
a402,a49,a169
a403,a17,a167
a404,a40,a188
a405,a67,a153
a406,a93,a181
a407,a82,a106
a408,a63,a180
a409,a61,a147
a410,a5,a197
a411,a59,a172
a412,a72,a148
a413,a90,a188
a414,a75,a109
a415,a56,a125
a416,a8,a130
a417,a49,a126
a418,a72,a165
a419,a93,a105
a420,a95,a114
a421,a68,a188
a422,a27,a133
a423,a83,a122
a424,a2,a197
a425,a34,a194
a426,a94,a174
a427,a8,a189
a428,a77,a159
a429,a6,a187
a430,a29,a103
a431,a81,a108
a432,a25,a166
a433,a29,a193
a434,a74,a131
a435,a22,a189
a436,a10,a101
a437,a28,a187
a438,a7,a119
a439,a29,a106
a440,a4,a113
a441,a40,a114
a442,a25,a190
a443,a19,a147
a444,a90,a122
a445,a46,a125
a446,a55,a198
a447,a21,a185
a448,a10,a161
a449,a84,a104
a450,a46,a197
a451,a90,a175
a452,a82,a174
a453,a42,a164
a454,a78,a176
a455,a22,a186
a456,a49,a150
a457,a9,a185
a458,a58,a139
a459,a39,a161
a460,a40,a128
a461,a61,a175
a462,a80,a191
a463,a19,a192
a464,a85,a189
a465,a20,a188
a466,a46,a105
a467,a72,a125
a468,a67,a110
a469,a4,a147
a470,a38,a172
a471,a59,a136
a472,a10,a161
a473,a35,a112
a474,a81,a108
a475,a76,a195
a476,a36,a175
a477,a27,a173
a478,a15,a185
a479,a99,a135
a480,a71,a103
a481,a14,a175
a482,a50,a105
a483,a99,a128
a484,a42,a160
a485,a42,a198
a486,a78,a116
a487,a51,a170
a488,a82,a143
a489,a66,a152
a490,a15,a121
a491,a10,a185
a492,a2,a131
a493,a48,a168
a494,a97,a140
a495,a55,a113
a496,a94,a153
a497,a42,a120
a498,a73,a145
a499,a99,a192
a500,a62,a173
a501,a37,a199
a502,a35,a189
a503,a86,a129
a504,a71,a115
a505,a48,a132
a506,a36,a163
a507,a29,a132
a508,a54,a112
a509,a1,a187
a510,a83,a125
a511,a10,a173
a512,a25,a137
a513,a87,a187
a514,a17,a148
a515,a2,a130
a516,a87,a172
a517,a80,a189
a518,a44,a128
a519,a96,a126
a520,a74,a169
a521,a36,a114
a522,a68,a167
a523,a6,a131
a524,a52,a147
a525,a96,a153
a526,a43,a106
a527,a14,a112
a528,a66,a164
a529,a20,a114
a530,a43,a182
a531,a56,a135
a532,a90,a165
a533,a69,a124
a534,a42,a103
a535,a42,a191
a536,a3,a172
a537,a86,a165
a538,a33,a158
a539,a25,a103
a540,a74,a161
a541,a97,a112
a542,a7,a156
a543,a48,a161
a544,a55,a102
a545,a39,a119
a546,a73,a120
a547,a50,a119
a548,a82,a168
a549,a78,a159
a550,a76,a189
a551,a91,a120
a552,a3,a184
a553,a65,a146
a554,a25,a175
a555,a24,a106
a556,a66,a171
a557,a7,a104
a558,a89,a114
a559,a76,a190
a560,a98,a151
a561,a13,a137
a562,a1,a182
a563,a93,a124
a564,a98,a161
a565,a65,a136
a566,a96,a137
a567,a97,a164
a568,a59,a198
a569,a34,a163
a570,a68,a135
a571,a32,a116
a572,a28,a145
a573,a81,a112
a574,a79,a151
a575,a6,a113
a576,a57,a140
a577,a54,a149
a578,a70,a129
a579,a88,a199
a580,a28,a195
a581,a56,a161
a582,a42,a193
a583,a48,a125
a584,a100,a200
a585,a57,a140
a586,a3,a163
a587,a35,a121
a588,a3,a184
a589,a54,a174
a590,a76,a115
a591,a22,a184
a592,a79,a107
a593,a35,a118
a594,a86,a133
a595,a15,a107
a596,a98,a184
a597,a22,a153
a598,a69,a164
a599,a63,a159
a600,a19,a147
a601,a22,a153
a602,a58,a188
a603,a47,a199
a604,a95,a140
a605,a86,a132
a606,a7,a187
a607,a96,a178
a608,a30,a187
a609,a37,a156
a610,a22,a173
a611,a98,a112
a612,a91,a137
a613,a25,a166
a614,a26,a140
a615,a44,a195
a616,a81,a146
a617,a78,a105
a618,a100,a128
a619,a19,a141
a620,a50,a180
a621,a28,a147
a622,a3,a185
a623,a35,a151
a624,a50,a136
a625,a80,a200
a626,a42,a168
a627,a15,a189
a628,a100,a163
a629,a19,a151
