ID,sire,dam
a1701,a1041,a1362
a1702,a1141,a1376
a1703,a894,a1463
a1704,a972,a1265
a1705,a764,a1295
a1706,a825,a1290
a1707,a1108,a1676
a1708,a886,a1626
a1709,a1168,a1564
a1710,a762,a1348
a1711,a941,a1385
a1712,a1102,a1622
a1713,a1176,a1206
a1714,a841,a1585
a1715,a1046,a1530
a1716,a1140,a1596
a1717,a1011,a1443
a1718,a921,a1662
a1719,a1062,a1275
a1720,a791,a1256
a1721,a1126,a1550
a1722,a1126,a1426
a1723,a718,a1378
a1724,a1192,a1241
a1725,a909,a1590
a1726,a919,a1556
a1727,a1125,a1378
a1728,a734,a1331
a1729,a882,a1230
a1730,a1074,a1242
a1731,a1139,a1691
a1732,a1193,a1276
a1733,a1017,a1550
a1734,a850,a1422
a1735,a1124,a1464
a1736,a849,a1672
a1737,a772,a1501
a1738,a908,a1605
a1739,a807,a1648
a1740,a904,a1684
a1741,a847,a1314
a1742,a988,a1334
a1743,a861,a1567
a1744,a1014,a1288
a1745,a1128,a1470
a1746,a732,a1597
a1747,a1120,a1472
a1748,a1145,a1643
a1749,a734,a1322
a1750,a739,a1636
a1751,a1022,a1227
a1752,a806,a1664
a1753,a1107,a1537
a1754,a1010,a1325
a1755,a837,a1512
a1756,a800,a1277
a1757,a938,a1235
a1758,a767,a1463
a1759,a997,a1566
a1760,a785,a1246
a1761,a1130,a1437
a1762,a954,a1570
a1763,a926,a1619
a1764,a745,a1246
a1765,a776,a1483
a1766,a847,a1347
a1767,a865,a1261
a1768,a1188,a1219
a1769,a839,a1368
a1770,a1009,a1483
a1771,a1035,a1237
a1772,a897,a1611
a1773,a1059,a1336
a1774,a1183,a1310
a1775,a778,a1640
a1776,a841,a1687
a1777,a1193,a1471
a1778,a912,a1620
a1779,a1190,a1593
a1780,a774,a1668
a1781,a1088,a1300
a1782,a834,a1336
a1783,a1155,a1396
a1784,a965,a1406
a1785,a1183,a1599
a1786,a1069,a1217
a1787,a929,a1577
a1788,a736,a1436
a1789,a829,a1260
a1790,a866,a1524
a1791,a1005,a1329
a1792,a786,a1368
a1793,a1152,a1479
a1794,a765,a1311
a1795,a811,a1282
a1796,a869,a1439
a1797,a819,a1527
a1798,a731,a1212
a1799,a743,a1652
a1800,a826,a1697
a1801,a837,a1478
a1802,a870,a1686
a1803,a1135,a1392
a1804,a872,a1315
a1805,a787,a1398
a1806,a790,a1518
a1807,a793,a1429
a1808,a1007,a1504
a1809,a1144,a1551
a1810,a985,a1590
a1811,a735,a1621
a1812,a861,a1568
a1813,a897,a1342
a1814,a1176,a1276
a1815,a837,a1392
a1816,a857,a1643
a1817,a1129,a1558
a1818,a1035,a1696
a1819,a950,a1207
a1820,a821,a1358
a1821,a828,a1522
a1822,a737,a1580
a1823,a795,a1604
a1824,a748,a1627
a1825,a962,a1628
a1826,a859,a1309
a1827,a1052,a1264
a1828,a938,a1546
a1829,a815,a1658
a1830,a968,a1519
a1831,a971,a1311
a1832,a708,a1543
a1833,a725,a1477
a1834,a1065,a1413
a1835,a881,a1483
a1836,a883,a1451
a1837,a1164,a1543
a1838,a752,a1395
a1839,a973,a1265
a1840,a1053,a1619
a1841,a961,a1535
a1842,a1059,a1654
a1843,a827,a1410
a1844,a722,a1205
a1845,a831,a1640
a1846,a942,a1606
a1847,a867,a1216
a1848,a1025,a1453
a1849,a851,a1478
a1850,a1170,a1602
a1851,a703,a1318
a1852,a749,a1232
a1853,a1097,a1560
a1854,a1006,a1597
a1855,a793,a1489
a1856,a995,a1583
a1857,a928,a1220
a1858,a972,a1473
a1859,a871,a1387
a1860,a976,a1432
a1861,a1171,a1376
a1862,a1188,a1554
a1863,a960,a1241
a1864,a1115,a1394
a1865,a773,a1679
a1866,a904,a1418
a1867,a1068,a1271
a1868,a1001,a1612
a1869,a1040,a1543
a1870,a795,a1548
a1871,a754,a1256
a1872,a709,a1665
a1873,a1175,a1302
a1874,a953,a1486
a1875,a1163,a1508
a1876,a839,a1437
a1877,a942,a1266
a1878,a1075,a1653
a1879,a1151,a1245
a1880,a1018,a1391
a1881,a1181,a1624
a1882,a894,a1257
a1883,a750,a1329
a1884,a774,a1587
a1885,a709,a1338
a1886,a805,a1326
a1887,a1091,a1575
a1888,a828,a1560
a1889,a1120,a1649
a1890,a891,a1268
a1891,a1012,a1214
a1892,a1092,a1496
a1893,a1069,a1688
a1894,a755,a1493
a1895,a969,a1559
a1896,a1007,a1656
a1897,a924,a1663
a1898,a771,a1290
a1899,a723,a1486
a1900,a1072,a1443
a1901,a1087,a1241
a1902,a1029,a1255
a1903,a1119,a1693
a1904,a1154,a1275
a1905,a1039,a1633
a1906,a978,a1398
a1907,a1146,a1274
a1908,a1190,a1487
a1909,a713,a1443
a1910,a1001,a1455
a1911,a1079,a1543
a1912,a1016,a1221
a1913,a1101,a1577
a1914,a1131,a1526
a1915,a881,a1434
a1916,a1041,a1533
a1917,a1177,a1631
a1918,a1071,a1332
a1919,a809,a1406
a1920,a1008,a1531
a1921,a821,a1363
a1922,a763,a1675
a1923,a833,a1374
a1924,a726,a1516
a1925,a1131,a1618
a1926,a756,a1338
a1927,a931,a1657
a1928,a1107,a1267
a1929,a744,a1436
a1930,a1062,a1234
a1931,a884,a1394
a1932,a819,a1295
a1933,a715,a1335
a1934,a862,a1411
a1935,a1178,a1553
a1936,a1124,a1651
a1937,a1114,a1386
a1938,a782,a1367
a1939,a768,a1485
a1940,a990,a1609
a1941,a705,a1688
a1942,a1126,a1214
a1943,a1166,a1297
a1944,a1128,a1218
a1945,a722,a1371
a1946,a1040,a1404
a1947,a819,a1213
a1948,a1063,a1546
a1949,a1057,a1453
a1950,a943,a1655
a1951,a1046,a1431
a1952,a1003,a1214
a1953,a819,a1391
a1954,a750,a1643
a1955,a915,a1456
a1956,a787,a1511
a1957,a746,a1488
a1958,a1025,a1495
a1959,a789,a1465
a1960,a1008,a1377
a1961,a1096,a1378
a1962,a1109,a1341
a1963,a943,a1425
a1964,a1019,a1407
a1965,a1078,a1299
a1966,a837,a1426
a1967,a1003,a1537
a1968,a1051,a1421
a1969,a1098,a1466
a1970,a980,a1271
a1971,a1186,a1685
a1972,a816,a1583
a1973,a785,a1532
a1974,a1174,a1536
a1975,a815,a1359
a1976,a901,a1616
a1977,a1116,a1435
a1978,a720,a1483
a1979,a1059,a1334
a1980,a797,a1635
a1981,a1036,a1589
a1982,a934,a1330
a1983,a1087,a1620
a1984,a1142,a1453
a1985,a746,a1596
a1986,a744,a1587
a1987,a893,a1469
a1988,a1082,a1439
a1989,a970,a1341
a1990,a1177,a1261
a1991,a1189,a1503
a1992,a717,a1402
a1993,a874,a1492
a1994,a916,a1458
a1995,a1199,a1366
a1996,a1150,a1580
a1997,a773,a1427
a1998,a796,a1309
a1999,a735,a1249
a2000,a1055,a1544
a2001,a1160,a1472
a2002,a874,a1382
a2003,a1168,a1583
a2004,a802,a1651
a2005,a1096,a1248
a2006,a918,a1427
a2007,a752,a1495
a2008,a782,a1621
a2009,a1097,a1494
a2010,a986,a1554
a2011,a1184,a1659
a2012,a871,a1622
a2013,a780,a1646
a2014,a1126,a1514
a2015,a933,a1502
a2016,a931,a1664
a2017,a731,a1693
a2018,a766,a1492
a2019,a936,a1413
a2020,a1177,a1402
a2021,a1087,a1633
a2022,a1133,a1581
a2023,a907,a1387
a2024,a963,a1620
a2025,a920,a1280
a2026,a806,a1511
a2027,a1130,a1378
a2028,a775,a1625
a2029,a800,a1338
a2030,a721,a1675
a2031,a1056,a1583
a2032,a819,a1444
a2033,a944,a1293
a2034,a1056,a1436
a2035,a979,a1314
a2036,a732,a1228
a2037,a933,a1620
a2038,a1099,a1596
a2039,a726,a1681
a2040,a1116,a1521
a2041,a848,a1275
a2042,a914,a1608
a2043,a778,a1685
a2044,a728,a1312
a2045,a1179,a1566
a2046,a1153,a1296
a2047,a849,a1548
a2048,a873,a1366
a2049,a1130,a1663
a2050,a1029,a1317
a2051,a1039,a1363
a2052,a1042,a1549
a2053,a1064,a1305
a2054,a958,a1440
a2055,a1103,a1268
a2056,a955,a1672
a2057,a871,a1366
a2058,a792,a1677
a2059,a964,a1338
a2060,a764,a1260
a2061,a1177,a1335
a2062,a874,a1201
a2063,a790,a1435
a2064,a782,a1690
a2065,a772,a1454
a2066,a1106,a1671
a2067,a809,a1652
a2068,a750,a1550
a2069,a1094,a1253
a2070,a712,a1346
a2071,a968,a1419
a2072,a766,a1279
a2073,a964,a1647
a2074,a900,a1624
a2075,a1001,a1697
a2076,a864,a1283
a2077,a975,a1231
a2078,a1155,a1588
a2079,a1079,a1306
a2080,a804,a1593
a2081,a1095,a1616
a2082,a926,a1401
a2083,a1014,a1360
a2084,a780,a1378
a2085,a818,a1482
a2086,a756,a1643
a2087,a972,a1501
a2088,a1035,a1261
a2089,a1125,a1422
a2090,a1135,a1611
a2091,a1040,a1458
a2092,a1023,a1456
a2093,a977,a1554
a2094,a973,a1634
a2095,a894,a1462
a2096,a725,a1493
a2097,a853,a1579
a2098,a811,a1325
a2099,a746,a1468
a2100,a792,a1513
a2101,a1019,a1591
a2102,a727,a1261
a2103,a1117,a1507
a2104,a1020,a1435
a2105,a755,a1561
a2106,a1181,a1671
a2107,a915,a1456
a2108,a835,a1425
a2109,a731,a1526
a2110,a936,a1254
a2111,a911,a1650
a2112,a902,a1318
a2113,a849,a1280
a2114,a1104,a1459
a2115,a1063,a1315
a2116,a1118,a1431
a2117,a991,a1352
a2118,a1095,a1217
a2119,a1084,a1591
a2120,a1037,a1242
a2121,a770,a1700
a2122,a954,a1529
a2123,a1146,a1600
a2124,a1098,a1525
a2125,a874,a1432
a2126,a901,a1340
a2127,a997,a1246
a2128,a968,a1226
a2129,a859,a1597
a2130,a1165,a1348
a2131,a728,a1438
a2132,a743,a1612
a2133,a1138,a1699
a2134,a926,a1580
a2135,a889,a1269
a2136,a704,a1597
a2137,a1196,a1322
a2138,a983,a1641
a2139,a1193,a1301
a2140,a915,a1358
a2141,a1111,a1204
a2142,a945,a1532
a2143,a751,a1554
a2144,a926,a1460
a2145,a819,a1316
a2146,a1013,a1323
a2147,a830,a1204
a2148,a1073,a1240
a2149,a761,a1551
a2150,a787,a1536
a2151,a823,a1664
a2152,a1118,a1438
a2153,a1026,a1255
a2154,a850,a1395
a2155,a1175,a1363
a2156,a800,a1604
a2157,a1004,a1209
a2158,a1200,a1491
a2159,a748,a1433
a2160,a924,a1673
a2161,a763,a1504
a2162,a1089,a1336
a2163,a848,a1664
a2164,a799,a1388
a2165,a852,a1569
a2166,a1118,a1468
a2167,a1006,a1393
a2168,a988,a1665
a2169,a792,a1254
a2170,a725,a1607
a2171,a879,a1545
a2172,a1022,a1414
a2173,a985,a1295
a2174,a1185,a1609
a2175,a1107,a1422
a2176,a924,a1351
a2177,a865,a1515
a2178,a1125,a1598
a2179,a852,a1422
a2180,a881,a1443
a2181,a1046,a1436
a2182,a997,a1486
a2183,a862,a1470
a2184,a934,a1283
a2185,a992,a1469
a2186,a758,a1442
a2187,a1067,a1214
a2188,a1096,a1389
a2189,a904,a1279
a2190,a960,a1520
a2191,a1030,a1385
a2192,a923,a1409
a2193,a1014,a1381
a2194,a1077,a1273
a2195,a947,a1589
a2196,a757,a1542
a2197,a790,a1388
a2198,a921,a1604
a2199,a794,a1573
a2200,a717,a1628
a2201,a1174,a1596
a2202,a1016,a1471
a2203,a1033,a1271
a2204,a1112,a1494
a2205,a803,a1265
a2206,a1132,a1474
a2207,a774,a1269
a2208,a765,a1691
a2209,a868,a1670
a2210,a810,a1262
a2211,a797,a1278
a2212,a959,a1279
a2213,a1067,a1587
a2214,a948,a1225
a2215,a864,a1245
a2216,a1004,a1216
a2217,a883,a1445
a2218,a941,a1350
a2219,a1049,a1556
a2220,a1060,a1575
a2221,a957,a1324
a2222,a783,a1270
a2223,a1120,a1588
a2224,a1175,a1637
a2225,a863,a1575
a2226,a829,a1493
a2227,a933,a1261
a2228,a921,a1203
a2229,a1004,a1672
a2230,a930,a1296
a2231,a1018,a1627
a2232,a1005,a1404
a2233,a907,a1635
a2234,a907,a1683
a2235,a812,a1474
a2236,a789,a1277
a2237,a737,a1364
a2238,a854,a1376
a2239,a836,a1331
a2240,a1164,a1493
a2241,a1006,a1235
a2242,a771,a1571
a2243,a753,a1645
a2244,a893,a1386
a2245,a966,a1685
a2246,a1063,a1491
a2247,a1013,a1431
a2248,a1024,a1699
a2249,a1022,a1578
a2250,a895,a1332
a2251,a909,a1321
a2252,a1199,a1389
a2253,a1190,a1432
a2254,a921,a1249
a2255,a781,a1360
a2256,a880,a1372
a2257,a1138,a1606
a2258,a1080,a1580
a2259,a1072,a1476
a2260,a1173,a1504
a2261,a860,a1562
a2262,a794,a1455
a2263,a709,a1495
a2264,a1198,a1406
a2265,a1136,a1384
a2266,a1048,a1622
a2267,a996,a1496
a2268,a961,a1374
a2269,a1048,a1686
a2270,a1196,a1249
a2271,a895,a1456
a2272,a949,a1244
a2273,a1178,a1471
a2274,a1024,a1459
a2275,a1141,a1373
a2276,a891,a1428
a2277,a911,a1646
a2278,a829,a1698
a2279,a914,a1684
a2280,a895,a1507
a2281,a913,a1291
a2282,a850,a1580
a2283,a785,a1518
a2284,a1129,a1439
a2285,a844,a1606
a2286,a1082,a1337
a2287,a847,a1239
a2288,a1111,a1446
a2289,a1100,a1315
a2290,a880,a1500
a2291,a994,a1280
a2292,a714,a1269
a2293,a974,a1278
a2294,a841,a1203
a2295,a714,a1578
a2296,a946,a1221
a2297,a857,a1436
a2298,a950,a1230
a2299,a892,a1289
a2300,a706,a1604
a2301,a913,a1219
a2302,a845,a1411
a2303,a780,a1235
a2304,a855,a1309
a2305,a982,a1585
a2306,a1198,a1475
a2307,a1196,a1679
a2308,a1185,a1317
a2309,a821,a1686
a2310,a949,a1536
a2311,a832,a1389
a2312,a1175,a1597
a2313,a1050,a1634
a2314,a1141,a1359
a2315,a809,a1527
a2316,a983,a1293
a2317,a836,a1255
a2318,a1069,a1425
a2319,a1179,a1394
a2320,a1072,a1435
a2321,a875,a1544
a2322,a997,a1426
a2323,a916,a1296
a2324,a732,a1341
a2325,a1149,a1611
a2326,a882,a1547
a2327,a766,a1259
a2328,a839,a1676
a2329,a953,a1329
a2330,a974,a1499
a2331,a1031,a1585
a2332,a757,a1470
a2333,a1178,a1446
a2334,a971,a1612
a2335,a804,a1535
a2336,a1049,a1488
a2337,a994,a1271
a2338,a1083,a1292
a2339,a795,a1591
a2340,a749,a1224
a2341,a771,a1497
a2342,a1101,a1245
a2343,a1080,a1287
a2344,a752,a1351
a2345,a1106,a1575
a2346,a860,a1494
a2347,a1152,a1324
a2348,a918,a1235
a2349,a747,a1391
a2350,a794,a1583
a2351,a1109,a1488
a2352,a1048,a1622
a2353,a768,a1400
a2354,a750,a1365
a2355,a1063,a1613
a2356,a1195,a1550
a2357,a1125,a1681
a2358,a1112,a1312
a2359,a992,a1431
a2360,a906,a1450
a2361,a908,a1275
a2362,a1172,a1336
a2363,a978,a1256
a2364,a1178,a1629
a2365,a1177,a1386
a2366,a759,a1478
a2367,a982,a1578
a2368,a1166,a1371
a2369,a876,a1498
a2370,a978,a1323
a2371,a955,a1474
a2372,a944,a1402
a2373,a1003,a1372
a2374,a1099,a1246
a2375,a897,a1628
a2376,a890,a1668
a2377,a870,a1360
a2378,a802,a1536
a2379,a832,a1322
a2380,a1059,a1261
a2381,a1062,a1213
a2382,a804,a1287
a2383,a1167,a1494
a2384,a784,a1304
a2385,a1193,a1294
a2386,a1045,a1396
a2387,a917,a1473
a2388,a741,a1660
a2389,a1143,a1585
a2390,a1138,a1245
a2391,a1160,a1657
a2392,a737,a1669
a2393,a893,a1502
a2394,a956,a1648
a2395,a998,a1228
a2396,a852,a1443
a2397,a1096,a1526
a2398,a854,a1411
a2399,a1047,a1519
a2400,a1054,a1496
a2401,a781,a1541
a2402,a952,a1402
a2403,a977,a1203
a2404,a786,a1591
a2405,a712,a1234
a2406,a808,a1317
a2407,a1132,a1642
a2408,a924,a1661
a2409,a1012,a1476
a2410,a906,a1256
a2411,a963,a1545
a2412,a923,a1264
a2413,a925,a1363
a2414,a936,a1633
a2415,a1014,a1632
a2416,a939,a1328
a2417,a1002,a1367
a2418,a1144,a1435
a2419,a954,a1237
a2420,a1028,a1408
a2421,a1023,a1458
a2422,a1131,a1629
a2423,a971,a1295
a2424,a1035,a1266
a2425,a1110,a1584
a2426,a986,a1644
a2427,a948,a1218
a2428,a1084,a1471
a2429,a801,a1408
a2430,a936,a1637
a2431,a1042,a1632
a2432,a1135,a1247
a2433,a958,a1699
a2434,a774,a1266
a2435,a820,a1565
a2436,a834,a1458
a2437,a833,a1432
a2438,a1112,a1645
a2439,a762,a1677
a2440,a706,a1356
a2441,a737,a1300
a2442,a1191,a1464
a2443,a845,a1330
a2444,a1199,a1493
a2445,a1135,a1416
a2446,a941,a1294
a2447,a894,a1523
a2448,a1141,a1440
a2449,a980,a1461
a2450,a935,a1423
a2451,a955,a1499
a2452,a756,a1434
a2453,a997,a1478
a2454,a1008,a1576
a2455,a1065,a1399
a2456,a1197,a1384
a2457,a705,a1653
a2458,a1055,a1659
a2459,a786,a1430
a2460,a916,a1561
a2461,a924,a1484
a2462,a1097,a1545
a2463,a1145,a1667
a2464,a826,a1625
a2465,a930,a1374
a2466,a817,a1295
a2467,a925,a1625
a2468,a801,a1427
a2469,a1042,a1253
a2470,a903,a1459
a2471,a1160,a1521
a2472,a710,a1309
a2473,a791,a1580
a2474,a901,a1379
a2475,a823,a1501
a2476,a857,a1611
a2477,a973,a1569
a2478,a1054,a1228
a2479,a1062,a1680
a2480,a782,a1444
a2481,a754,a1661
a2482,a1180,a1413
a2483,a918,a1279
a2484,a999,a1350
a2485,a802,a1651
a2486,a876,a1652
a2487,a1035,a1533
a2488,a783,a1216
a2489,a880,a1652
a2490,a1147,a1627
a2491,a741,a1419
a2492,a1139,a1555
a2493,a1095,a1527
a2494,a805,a1204
a2495,a1052,a1211
a2496,a910,a1569
a2497,a1083,a1570
a2498,a885,a1319
a2499,a1166,a1446
a2500,a960,a1604
a2501,a1175,a1628
a2502,a1014,a1608
a2503,a1061,a1461
a2504,a714,a1535
a2505,a832,a1340
a2506,a1009,a1624
a2507,a1132,a1429
a2508,a997,a1324
a2509,a1195,a1214
a2510,a1097,a1387
a2511,a850,a1473
a2512,a870,a1407
a2513,a1126,a1457
a2514,a1035,a1403
a2515,a1118,a1337
a2516,a717,a1649
a2517,a990,a1543
a2518,a1029,a1596
a2519,a716,a1646
a2520,a830,a1685
a2521,a879,a1490
a2522,a948,a1301
