ID,sire,dam
a28601,a28441,a28569
a28602,a28446,a28596
a28603,a28444,a28563
a28604,a28462,a28529
a28605,a28498,a28516
a28606,a28429,a28552
a28607,a28448,a28600
a28608,a28449,a28555
a28609,a28436,a28561
a28610,a28427,a28537
a28611,a28453,a28534
a28612,a28476,a28518
a28613,a28496,a28527
a28614,a28426,a28509
a28615,a28440,a28539
a28616,a28402,a28580
a28617,a28411,a28506
a28618,a28467,a28536
a28619,a28401,a28510
a28620,a28460,a28511
a28621,a28463,a28518
a28622,a28440,a28508
a28623,a28416,a28572
a28624,a28407,a28589
a28625,a28401,a28593
a28626,a28474,a28502
a28627,a28453,a28524
a28628,a28413,a28552
a28629,a28481,a28591
a28630,a28449,a28592
a28631,a28412,a28517
a28632,a28405,a28537
a28633,a28459,a28541
a28634,a28448,a28513
a28635,a28494,a28561
a28636,a28420,a28512
a28637,a28456,a28519
a28638,a28426,a28523
a28639,a28413,a28583
a28640,a28404,a28571
a28641,a28407,a28587
a28642,a28471,a28600
a28643,a28426,a28577
a28644,a28403,a28519
a28645,a28429,a28523
a28646,a28446,a28576
a28647,a28403,a28535
a28648,a28450,a28533
a28649,a28439,a28585
a28650,a28465,a28597
a28651,a28401,a28517
a28652,a28431,a28566
a28653,a28428,a28572
a28654,a28451,a28577
a28655,a28447,a28510
a28656,a28401,a28587
a28657,a28478,a28597
a28658,a28468,a28527
a28659,a28462,a28571
a28660,a28458,a28590
a28661,a28459,a28530
a28662,a28435,a28518
a28663,a28467,a28578
a28664,a28401,a28523
a28665,a28499,a28533
a28666,a28462,a28587
a28667,a28405,a28525
a28668,a28483,a28504
a28669,a28413,a28532
a28670,a28484,a28561
a28671,a28435,a28583
a28672,a28465,a28554
a28673,a28463,a28591
a28674,a28424,a28563
a28675,a28408,a28518
a28676,a28441,a28516
a28677,a28431,a28565
a28678,a28408,a28596
a28679,a28416,a28537
a28680,a28451,a28545
a28681,a28489,a28520
a28682,a28454,a28521
a28683,a28425,a28503
a28684,a28413,a28535
a28685,a28404,a28562
a28686,a28412,a28580
a28687,a28414,a28549
a28688,a28408,a28600
a28689,a28496,a28541
a28690,a28422,a28563
a28691,a28455,a28530
a28692,a28477,a28554
a28693,a28440,a28583
a28694,a28450,a28572
a28695,a28443,a28547
