window	chr	start	end	start_SNP	end_SNP	#SNPS	%genetic variance	WPPA
1	1.0	0	1000000	33333	966667	15	0.0	0.0
2	1.0	1000000	2000000	1033333	1966667	15	1.76	0.0
3	1.0	2000000	3000000	2033333	2966667	15	0.0	0.0
4	1.0	3000000	4000000	3033333	3966667	15	2.68	0.0
5	1.0	4000000	5000000	4033333	4966667	15	0.0	0.0
6	1.0	5000000	6000000	5033333	5966667	15	0.04	0.0
7	1.0	6000000	7000000	6033333	6966667	15	1.42	0.0
8	1.0	7000000	8000000	7033333	7966667	15	0.0	0.0
9	1.0	8000000	9000000	8033333	8966667	15	0.64	0.0
10	1.0	9000000	10000000	9033333	9966667	15	0.0	0.0
11	1.0	10000000	11000000	10033333	10966667	15	0.16	0.0
12	1.0	11000000	12000000	11033333	11966667	15	0.2	0.0
13	1.0	12000000	13000000	12033333	12966667	15	0.93	0.0
14	1.0	13000000	14000000	13033333	13966667	15	0.0	0.0
15	1.0	14000000	15000000	14033333	14966667	15	0.06	0.0
16	1.0	15000000	16000000	15033333	15966667	15	0.0	0.0
17	1.0	16000000	17000000	16033333	16966667	15	0.2	0.0
18	1.0	17000000	18000000	17033333	17966667	15	0.0	0.0
19	1.0	18000000	19000000	18033333	18966667	15	0.55	0.0
20	1.0	19000000	20000000	19033333	19966667	15	1.85	0.0
21	1.0	20000000	21000000	20033333	20966667	15	0.65	0.0
22	1.0	21000000	22000000	21033333	21966667	15	0.18	0.0
23	1.0	22000000	23000000	22033333	22966667	15	0.0	0.0
24	1.0	23000000	24000000	23033333	23966667	15	0.93	0.0
25	1.0	24000000	25000000	24033333	24966667	15	8.95	1.0
26	1.0	25000000	26000000	25033333	25966667	15	0.01	0.0
27	1.0	26000000	27000000	26033333	26966667	15	1.08	0.0
28	1.0	27000000	28000000	27033333	27966667	15	0.0	0.0
29	1.0	28000000	29000000	28033333	28966667	15	0.0	0.0
30	1.0	29000000	30000000	29033333	29966667	15	0.0	0.0
31	1.0	30000000	31000000	30033333	30966667	15	1.67	0.0
32	1.0	31000000	32000000	31033333	31966667	15	0.0	0.0
33	1.0	32000000	33000000	32033333	32966667	15	0.0	0.0
34	1.0	33000000	34000000	33033333	33966667	15	0.01	0.0
35	1.0	34000000	35000000	34033333	34966667	15	0.0	0.0
36	1.0	35000000	36000000	35033333	35966667	15	0.0	0.0
37	1.0	36000000	37000000	36033333	36966667	15	0.0	0.0
38	1.0	37000000	38000000	37033333	37966667	15	1.12	0.0
39	1.0	38000000	39000000	38033333	38966667	15	0.0	0.0
40	1.0	39000000	40000000	39033333	39966667	15	0.0	0.0
41	1.0	40000000	41000000	40033333	40966667	15	0.0	0.0
42	1.0	41000000	42000000	41033333	41966667	15	0.0	0.0
43	1.0	42000000	43000000	42033333	42966667	15	0.0	0.0
44	1.0	43000000	44000000	43033333	43966667	15	0.0	0.0
45	1.0	44000000	45000000	44033333	44966667	15	0.0	0.0
46	1.0	45000000	46000000	45033333	45966667	15	0.0	0.0
47	1.0	46000000	47000000	46033333	46966667	15	4.67	0.0
48	1.0	47000000	48000000	47033333	47966667	15	0.0	0.0
49	1.0	48000000	49000000	48033333	48966667	15	0.0	0.0
50	1.0	49000000	50000000	49033333	49966667	15	4.47	0.0
51	1.0	50000000	51000000	50033333	50966667	15	0.14	0.0
52	1.0	51000000	52000000	51033333	51966667	15	0.0	0.0
53	1.0	52000000	53000000	52033333	52966667	15	0.01	0.0
54	1.0	53000000	54000000	53033333	53966667	15	0.01	0.0
55	1.0	54000000	55000000	54033333	54966667	15	0.31	0.0
56	1.0	55000000	56000000	55033333	55966667	15	1.78	0.0
57	1.0	56000000	57000000	56033333	56966667	15	0.35	0.0
58	1.0	57000000	58000000	57033333	57966667	15	0.0	0.0
59	1.0	58000000	59000000	58033333	58966667	15	0.14	0.0
60	1.0	59000000	60000000	59033333	59966667	15	0.0	0.0
61	1.0	60000000	61000000	60033333	60966667	15	0.0	0.0
62	1.0	61000000	62000000	61033333	61966667	15	0.0	0.0
63	1.0	62000000	63000000	62033333	62966667	15	0.26	0.0
64	1.0	63000000	64000000	63033333	63966667	15	0.0	0.0
